short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
VCAMBF,QUỸ ĐẦU TƯ CÂN BẰNG BẢN VIỆT,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN BẢN VIỆT,1.2,2014-04-10,20045.33,0.47,6.34,68.19,4.57,11.06,8.66,7.33,27.64,36.61,10.96,2025-07-15,70,VCAMBF,VCAMBFN001
VESAF,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2017-04-17,32448.83,0.77,2.96,224.49,8.09,16.5,6.32,3.39,32.16,35.65,10.7,2025-07-15,23,VESAF,VESAFN002
VLGF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.5,2021-11-15,12588.19,0.46,2.21,25.91,6.69,13.69,5.55,5.04,37.19,35.15,10.56,2025-07-15,49,VLGF,VLGFN001
VEOF,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2014-06-30,32189.65,0.82,3.23,167.27,9.64,16.68,6.48,6.24,33.6,33.41,10.09,2025-07-15,20,VEOF,VEOFN003
ENF,QUỸ ĐẦU TƯ NĂNG ĐỘNG EASTSPRING INVESTMENTS VIỆT NAM,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ EASTSPRING INVESTMENTS,1.5,2014-03-03,38315.0,0.54,2.78,283.15,6.63,13.3,4.78,3.27,30.34,32.44,9.82,2025-07-15,81,ENF,ENFN001
MAFEQI,QUỸ ĐẦU TƯ CỔ PHIẾU MANULIFE,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ MANULIFE INVESTMENT (VIỆT NAM),1.75,2014-09-30,19020.0,0.65,5.34,90.22,9.4,17.75,7.56,5.05,29.19,28.88,8.82,2025-07-15,72,MAFEQI,MAFEQI
VIBF,QUỸ ĐẦU TƯ CÂN BẰNG TUỆ SÁNG VINACAPITAL,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2019-07-01,18881.52,0.1,5.82,88.95,3.9,7.72,7.46,8.3,27.95,27.4,8.41,2025-07-15,22,VIBF,VIBFN003
VCBF-FIF,QUỸ ĐẦU TƯ TRÁI PHIẾU VCBF,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,0.5,2019-08-08,14953.33,0.15,3.38,49.53,0.79,1.52,3.38,6.56,15.52,26.37,8.11,2025-07-15,33,VCBFFIF,VCBFFIFN001
MAFBAL,QUỸ ĐẦU TƯ CÂN BẰNG MANULIFE,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ MANULIFE INVESTMENT (VIỆT NAM),1.2,2017-09-28,17053.0,0.34,5.21,70.58,5.28,9.77,6.14,6.02,22.38,26.26,8.08,2025-07-15,71,MAFBAL,MAFBAL
VNDBF,QUỸ ĐẦU TƯ TRÁI PHIẾU VND,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN IPA,1.1,2019-07-04,15086.6,0.2,3.74,50.87,0.84,1.83,3.67,7.31,16.13,25.23,7.79,2025-07-15,37,VNDBF,VNDBFN001
PVBF,QUỸ ĐẦU TƯ TRÁI PHIẾU PVCOM,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,0.5,2020-02-06,14913.39,0.73,1.98,49.13,0.38,1.6,3.86,6.98,16.53,25.19,7.78,2025-07-15,45,PVBF,PVBFN001
MAFF,QUỸ ĐẦU TƯ TRÁI PHIẾU LINH HOẠT MIRAE ASSET VIỆT NAM,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ MIREA ASSET VIỆT NAM,0.8,2021-12-16,12932.42,0.06,3.39,29.32,-4.28,1.82,3.52,7.11,15.93,24.84,7.67,2025-07-15,50,MAFF,MAFFN001
VFF,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢO THỊNH VINACAPITAL,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,0.95,2013-03-31,24662.86,0.08,3.47,85.66,0.57,1.62,3.23,6.93,14.99,23.67,7.34,2025-07-15,21,VFF,VFFN003
MBBOND,QUỸ ĐẦU TƯ TRÁI PHIẾU MB,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.2,2018-03-25,15805.0,0.02,3.91,40.95,0.6,1.76,3.67,7.71,17.22,22.46,6.99,2025-07-15,48,MBBOND,MBBONDN001
ABBF,QUỸ ĐẦU TƯ TRÁI PHIẾU AN BÌNH,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN AN BÌNH,1.45,2020-11-02,13532.54,0.01,3.2,35.33,0.49,1.47,2.97,5.91,12.5,21.51,6.71,2025-07-15,65,ABBF,ABBFN001
DCBF,QUỸ ĐẦU TƯ TRÁI PHIẾU DC,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.2,2013-06-09,28070.59,0.03,3.51,103.08,0.58,1.61,3.4,6.9,15.86,21.25,6.63,2025-07-15,27,VFMVFB,VFMVFBN001
BVBF,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢO VIỆT ,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ BẢO VIỆT,0.5,2016-05-19,21107.0,-0.35,1.96,36.66,0.01,0.85,2.24,5.86,14.32,20.77,6.49,2025-07-15,13,BVBF,BVBFN001
SSIBF,QUỸ ĐẦU TƯ TRÁI PHIẾU SSI,Quỹ trái phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.0,2017-08-29,16122.35,0.08,2.72,61.22,0.39,1.21,2.67,5.48,14.68,20.33,6.36,2025-07-15,8,SSIBF,SSIBFN001
TBLF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG BALLAD VIỆT NAM,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ SGI,1.3,2021-09-29,10433.96,4.04,10.18,4.34,11.7,17.97,10.93,13.12,33.92,19.27,6.05,2025-07-15,41,TBLF,TBLFN001
VNDAF,QUỸ ĐẦU TƯ CHỦ ĐỘNG VND,Quỹ cổ phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN IPA,1.5,2018-01-11,16439.2,0.87,2.32,64.39,7.04,11.87,5.61,0.46,13.65,18.89,5.94,2025-07-15,38,VNDAF,VNDAFN001
ASBF,QUỸ ĐẦU TƯ TRÁI PHIẾU AN TOÀN AMBER,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ AMBER,0.85,2021-05-24,12329.69,0.01,2.63,23.46,0.4,1.15,2.42,5.15,12.03,18.84,5.92,2025-07-15,51,ASBF,ASBFN001
DCAF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DFVN,Quỹ cổ phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ DAI-ICHI LIFE VIỆT NAM,1.5,2019-01-02,16154.93,1.92,0.28,61.55,7.07,12.93,2.54,0.9,20.84,16.98,5.37,2025-07-15,29,DCAF,DCAFN002
DCIP,QUỸ ĐẦU TƯ TRÁI PHIẾU GIA TĂNG THU NHẬP CỐ ĐỊNH DC,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ DRAGON CAPITAL VIỆT NAM,1.2,2021-05-23,11568.22,0.01,2.91,15.74,0.47,1.36,2.77,5.4,12.45,15.81,5.02,2025-07-15,67,VFMVFC,VFMVFCN001
VLBF,QUỸ ĐẦU TƯ TRÁI PHIẾU THANH KHOẢN VINACAPITAL,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,0.9,2021-08-12,12033.3,0.01,2.6,20.33,0.43,1.14,2.4,4.85,9.64,15.21,4.83,2025-07-15,53,VLBF,VLBFN001
DFIX,QUỸ ĐẦU TƯ TRÁI PHIẾU DFVN,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ DAI-ICHI LIFE VIỆT NAM,0.9,2021-02-03,11579.96,0.16,1.91,15.8,0.2,0.78,1.85,3.46,9.02,13.21,4.22,2025-07-15,30,DFIX,DFIXN002
BMFF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.8,2023-01-02,14757.0,0.43,15.75,47.57,7.32,18.24,18.92,18.94,35.58,,,2025-07-15,87,BMFF,BMFFN001
TCGF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ THÀNH CÔNG,1.0,,11341.61,2.23,12.39,13.42,10.51,14.31,15.24,,,,,2025-07-15,79,TCGF,TCGFN001
VCAMDF,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN BẢN VIỆT,1.5,,10452.98,0.75,7.4,4.53,3.34,15.02,10.5,2.31,,,,2025-07-15,75,VCAMDF,VCAMDFN001
UVEEF,QUỸ ĐẦU TƯ CỔ PHIẾU UNITED ESG VIỆT NAM,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ UOB ASSET MANAGEMENT (VIỆT NAM),1.75,2022-09-29,15645.47,0.61,5.38,56.45,9.52,17.07,9.54,6.44,28.84,,,2025-07-15,58,UVEEF,UVEEFN001
EVESG,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ EASTSPRING INVESTMENTS,1.3,2024-09-26,10967.0,1.01,6.83,9.67,9.2,21.95,9.43,,,,,2025-07-15,89,EVESG,EVESGN001
PHVSF,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ PHÚ HƯNG,1.5,2022-11-20,12660.56,0.77,3.27,26.61,8.0,14.89,7.02,2.16,18.04,,,2025-07-15,66,PHVSF,PHVSFN001
LHCDF,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ LIGHTHOUSE,1.5,,11740.12,0.71,6.26,17.4,8.58,15.96,6.95,18.33,,,,2025-07-15,76,LHCDF,LHCDFN001
VMEEF,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2023-04-10,15648.94,0.46,3.26,56.54,8.23,14.55,6.02,4.73,43.4,,,2025-07-15,68,VMPF,VMPFN001
NTPPF,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG NTP,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ NTP,1.75,2022-06-11,10479.49,0.36,0.95,4.89,10.66,15.16,5.07,0.41,3.91,,,2025-07-15,52,TVPF,TVPFN001
UVDIF,QUỸ ĐẦU TƯ UNITED THU NHẬP NĂNG ĐỘNG VIỆT NAM,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ UOB ASSET MANAGEMENT (VIỆT NAM),1.5,,10436.95,0.48,2.96,4.37,3.59,6.26,4.97,,,,,2025-07-15,78,UVDIF,UVDIFN001
MDI,QUỸ ĐẦU TƯ NĂNG ĐỘNG MANULIFE,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ MANULIFE INVESTMENT (VIỆT NAM),1.75,2023-11-29,11455.0,0.44,3.66,14.56,6.22,10.6,4.83,5.28,,,,2025-07-15,77,MDI,MDI
LHBF,QUỸ ĐẦU TƯ TRÁI PHIẾU LIGHTHOUSE,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ LIGHTHOUSE,1.0,2022-12-28,14354.65,0.28,4.84,41.19,1.19,3.42,3.83,12.09,24.16,,,2025-07-15,64,LHBF,LHBFN001
VCAMFI,QUỸ ĐẦU TƯ TRÁI PHIẾU BẢN VIỆT,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN BẢN VIỆT,1.0,2022-09-21,11843.22,-3.29,3.01,18.4,-2.83,1.84,3.4,5.77,13.08,,,2025-07-15,63,VCAMFI,VCAMFIN001
MBAM,QUỸ ĐẦU TƯ TRÁI PHIẾU DÒNG TIỀN LINH HOẠT MB,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.5,2024-04-10,10759.0,0.03,3.49,7.59,0.57,1.78,3.28,6.1,,,,2025-07-15,88,MBAM,MBAMN001
VDEF,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC NĂNG ĐỘNG VINACAPITAL,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ VINACAPITAL,1.75,2024-06-03,10493.17,0.3,-0.69,4.93,8.55,12.88,3.2,2.45,,,,2025-07-15,80,VDEF,VDEFN001
HDBOND,QUỸ ĐẦU TƯ TRÁI PHIẾU LỢI TỨC CAO HD,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ HD,0.95,2022-12-29,11680.38,0.23,2.52,16.82,0.96,3.04,3.17,2.73,11.45,,,2025-07-15,62,HDBOND,HDBONDN001
VNDCF,QUỸ ĐẦU TƯ TRÁI PHIẾU LINH HOẠT VND,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN IPA,0.9,2023-08-03,11112.75,0.17,3.12,11.13,0.7,1.49,2.94,5.46,,,,2025-07-15,40,VNDCF,VNDCFN001
GFM-VIF,QUỸ ĐẦU TƯ GIA TĂNG GIÁ TRỊ GFM,Quỹ cổ phiếu,CÔNG TY QUẢN LÝ QUỸ GENESIS,1.5,,9987.45,0.0,-3.36,-0.13,0.08,2.92,0.27,-2.67,,,,2025-07-15,69,GFMVIF,GFMVIFN001
PBIF,QUỸ ĐẦU TƯ CÂN BẰNG PVCOM,Quỹ cân bằng,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ NGÂN HÀNG TMCP ĐẠI CHÚNG VIỆT NAM,1.3,,9657.85,-14.08,-7.66,-3.42,-1.13,6.68,-10.99,-8.77,-4.89,,,2025-07-15,61,PBIF,PBIFN001
KDEF,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ KIM VIỆT NAM,1.7,,11478.18,0.64,,14.78,8.67,,,,,,,2025-07-15,86,KDEF,KDEFN001
RVPIF,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ RỒNG VIỆT,1.5,,10783.36,1.04,,7.83,8.58,11.74,,,,,,2025-07-15,83,RVPF24,RVPF24N001
VCBF-AIF,QUỸ ĐẦU TƯ THU NHẬP CHỦ ĐỘNG VCBF,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN VIETCOMBANK,1.9,,10550.51,1.52,,5.51,9.29,16.23,,,,,,2025-07-15,82,VCBFAIF,VCBFAIFN001
